Search Gene	Found FBGN	Found Gene	extended cold, 4-day adult	cold shock, 4-day adult	heat shock, 4-day adult	Cadmium 50 mM 6 hrs, larvae L3	Cadmium 50 mM 12 hrs, larvae L3	Cadmium 50 mM 48 hrs, 4-day adult	Cadmium 100 mM 48 hrs, 4-day adult	Copper 0.5 mM 12 hrs, larvae L3	Copper 15 mM 48 hrs, 4-day adult	Zinc 5 mM 12 hrs, larvae L3	Zinc 4.5 mM 48 hrs, 4-day adult	Ethanol 2.5% 3 hrs, larvae L3	Ethanol 5% 3 hrs, larvae L3	Ethanol 10% 3 hrs, larvae L3	Caffeine 1.5 mg/ml 4 hrs, larvae L3	Caffeine 2.5 mg/ml 48 hrs, 4-day adult	Caffeine 25 mg/ml 48 hrs, 4-day adult	Paraquat 5 mM 48 hrs, 4-day adult	Paraquat 10 mM 48 hrs, 4-day adult	Rotenone 2 µg 12 hrs, larvae L3	Rotenone 8 µg 12 hrs, larvae L3	Rotenone starved, 10-day adult	Sindbis virus, larval stage	Sindbis virus, pupal stage	Sindbis virus, 4-day adult male	Sindbis virus, 4-day adult female	Resveratrol 100uM, 10-day adult
FBgn0052117	FBgn0052117	CG32117	2	2	3	0	3	4	11	0	11	0	28	7	1	1	0	4	1	14	12	1	0	5	15	9	0	0	2
FBgn0052119	FBgn0052119	CG32119	19	13	15	4	7	21	40	4	43	7	83	29	4	4	4	18	25	46	51	5	4	11	50	19	3	0	6
FBgn0052121	FBgn0052121	CG32121	4	3	3	1	0	5	8	0	15	1	23	6	2	1	1	4	4	10	14	1	2	3	3	1	0	1	2
FBgn0052137	FBgn0052137	CG32137	19	19	16	17	20	17	12	28	8	20	19	14	26	21	20	10	17	13	20	18	18	15	24	22	26	17	20
FBgn0052141	FBgn0052141	CG32141	3	3	8	3	18	16	32	1	74	1	94	14	4	2	7	21	8	44	20	5	1	3	17	16	1	1	2
FBgn0052150	FBgn0052150	CG32150	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	0	0	1
FBgn0052152	FBgn0052152	CG32152	36	27	16	12	17	21	38	19	24	20	14	32	11	9	7	33	27	27	23	6	6	8	5	8	1	7	18
FBgn0052161	FBgn0052161	CG32161	2	1	3	0	2	3	4	0	1	0	4	7	0	0	0	1	2	7	11	0	0	13	57	27	2	1	7
FBgn0052163	FBgn0052163	CG32163	4	8	6	11	12	8	10	1	18	4	17	12	10	8	9	11	6	13	17	8	11	6	9	13	4	4	6
FBgn0052170	FBgn0052170	CG32170	11	9	12	10	6	12	9	17	3	14	12	10	17	12	23	7	7	13	16	9	10	13	9	2	6	7	15
FBgn0052174	FBgn0052174	CG32174	5	3	11	8	9	9	13	4	5	3	5	15	11	8	11	13	5	11	14	11	7	12	14	12	19	20	16
FBgn0052176	FBgn0052176	CG32176	18	13	18	6	16	26	67	13	59	9	24	33	12	8	12	49	17	38	24	12	7	5	2	5	3	6	3
FBgn0052177	FBgn0052177	Ndfip	15	13	22	13	21	22	33	8	37	9	27	35	18	14	17	29	12	31	42	19	13	15	19	18	14	22	30
FBgn0052179	FBgn0052179	Krn	15	16	17	7	14	16	27	5	16	11	12	26	12	9	12	27	14	18	22	11	13	10	8	11	4	9	11
FBgn0052181	FBgn0052181	CG32181	4	2	5	1	6	7	15	2	22	3	35	9	2	1	3	7	3	16	16	2	1	3	10	7	1	0	2
FBgn0052182	FBgn0052182	CG32182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	7	0	0	0
FBgn0052183	FBgn0052183	Ccn	3	3	1	0	1	1	2	0	3	1	5	1	1	0	1	2	3	2	2	0	1	5	5	3	1	3	4
FBgn0052185	FBgn0052185	edin	0	0	15	84	1	4	1	0	13	0	12	8	40	64	45	0	0	1	0	94	29	27	18	436	476	18	43
FBgn0052187	FBgn0052187	CG32187	2	1	1	1	4	1	0	4	1	1	1	0	1	2	2	1	1	1	2	1	2	5	1	3	1	1	1
FBgn0052188	FBgn0052188	CG32188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
FBgn0052189	FBgn0052189	CG32189	0	0	0	0	0	1	2	2	0	0	2	2	0	0	0	0	0	4	1	0	1	4	0	0	0	0	1
FBgn0052190	FBgn0052190	NUCB1	166	135	161	129	78	124	116	188	92	181	112	138	129	125	101	98	121	91	115	114	128	49	64	88	145	68	85
FBgn0052192	FBgn0052192	CG32192	0	0	2	1	8	5	11	0	11	0	25	5	2	1	2	5	1	12	8	2	1	2	25	24	1	0	2
FBgn0052195	FBgn0052195	CG32195	1	0	2	3	3	5	7	1	4	2	2	4	8	3	4	3	1	2	5	5	2	3	4	5	10	3	3
FBgn0052196	FBgn0052196	CG32196	1	0	3	3	3	3	2	1	5	0	1	1	2	3	2	2	0	3	1	4	1	3	3	3	4	4	2
FBgn0052198	FBgn0052198	CG32198	105	137	1973	2199	740	1847	17	5124	149	9393	452	9	3083	4096	2637	1	917	6	21	1965	3666	6	1	0	65	0	4
FBgn0052199	FBgn0052199	CG32199	1	0	2	0	0	0	0	0	0	0	3	2	0	0	0	0	1	4	2	0	0	4	10	1	0	0	2
